;Scopy version,438f138
;Exported on,Thursday September 25/09/2025
;Device,M2K
;Nr of samples,1600
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
370,-0.043,2.40534,-0.0597199
371,-0.0429,2.40534,-0.0597199
372,-0.0428,2.40534,-0.0597199
373,-0.0427,2.40534,-0.0597199
374,-0.0426,2.40534,-0.0597199
375,-0.0425,2.40534,-0.0597199
376,-0.0424,2.40534,-0.0597199
377,-0.0423,2.40534,-0.0597199
378,-0.0422,2.40534,-0.0597199
379,-0.0421,2.40534,-0.0597199
380,-0.042,2.40534,-0.0597199
381,-0.0419,2.40534,-0.0597199
382,-0.0418,2.40534,-0.0597199
383,-0.0417,2.40534,-0.0597199
384,-0.0416,2.40534,-0.0597199
385,-0.0415,2.40534,-0.0597199
386,-0.0414,2.40534,-0.0597199
387,-0.0413,2.40534,-0.0597199
388,-0.0412,2.40534,-0.0597199
389,-0.0411,2.40534,-0.0597199
390,-0.041,2.40534,-0.0597199
391,-0.0409,2.40534,-0.0597199
392,-0.0408,2.40534,-0.0597199
393,-0.0407,2.40534,-0.0597199
394,-0.0406,2.40534,-0.0597199
395,-0.0405,2.40534,-0.0597199
396,-0.0404,2.40534,-0.0597199
397,-0.0403,2.40534,-0.0597199
398,-0.0402,2.40534,-0.0597199
399,-0.0401,2.40534,-0.0597199
400,-0.04,2.40534,-0.0597199
401,-0.0399,2.40534,-0.0597199
402,-0.0398,2.40534,-0.0597199
403,-0.0397,2.40534,-0.0597199
404,-0.0396,2.40534,-0.0597199
405,-0.0395,2.40534,-0.0597199
406,-0.0394,2.40534,-0.0597199
407,-0.0393,2.40534,-0.0597199
408,-0.0392,2.40534,-0.0597199
409,-0.0391,2.40534,-0.0597199
410,-0.039,2.40534,-0.0597199
411,-0.0389,2.40534,-0.0597199
412,-0.0388,2.40534,-0.0597199
413,-0.0387,2.40534,-0.0597199
414,-0.0386,2.40534,-0.0597199
415,-0.0385,2.40534,-0.0597199
416,-0.0384,2.40534,-0.0597199
417,-0.0383,2.40534,-0.0597199
418,-0.0382,2.40534,-0.0597199
419,-0.0381,2.40534,-0.0597199
420,-0.038,2.40534,-0.0597199
421,-0.0379,2.40534,-0.0597199
422,-0.0378,2.40534,-0.0597199
423,-0.0377,2.40534,-0.0597199
424,-0.0376,2.40534,-0.0597199
425,-0.0375,2.40534,-0.0597199
426,-0.0374,2.40534,-0.0597199
427,-0.0373,2.40534,-0.0597199
428,-0.0372,2.40534,-0.0597199
429,-0.0371,2.40534,-0.0597199
430,-0.037,2.40534,-0.0597199
431,-0.0369,2.40534,-0.0597199
432,-0.0368,2.40534,-0.0597199
433,-0.0367,2.40534,-0.0597199
434,-0.0366,2.40534,-0.0597199
435,-0.0365,2.40534,-0.0597199
436,-0.0364,2.40534,-0.0597199
437,-0.0363,2.40534,-0.0597199
438,-0.0362,2.40534,-0.0597199
439,-0.0361,2.40534,-0.0597199
440,-0.036,2.40534,-0.0597199
441,-0.0359,2.40534,-0.0597199
442,-0.0358,2.40534,-0.0597199
443,-0.0357,2.40534,-0.0597199
444,-0.0356,2.40534,-0.0597199
445,-0.0355,2.40534,-0.0597199
446,-0.0354,2.40534,-0.0597199
447,-0.0353,2.40534,-0.0597199
448,-0.0352,2.40534,-0.0597199
449,-0.0351,2.40534,-0.0597199
450,-0.035,2.40534,-0.0597199
451,-0.0349,2.40534,-0.0597199
452,-0.0348,2.40534,-0.0597199
453,-0.0347,2.40534,-0.0597199
454,-0.0346,2.40534,-0.0597199
455,-0.0345,2.40534,-0.0597199
456,-0.0344,2.40534,-0.0597199
457,-0.0343,2.40534,-0.0597199
458,-0.0342,2.40534,-0.0597199
459,-0.0341,2.40534,-0.0597199
460,-0.034,2.40534,-0.0597199
461,-0.0339,2.40534,-0.0597199
462,-0.0338,2.40534,-0.0597199
463,-0.0337,2.40534,-0.0597199
464,-0.0336,2.40534,-0.0597199
465,-0.0335,2.40534,-0.0597199
466,-0.0334,2.40534,-0.0597199
467,-0.0333,2.40534,-0.0597199
468,-0.0332,2.40534,-0.0597199
469,-0.0331,2.40534,-0.0597199
470,-0.033,2.40534,-0.0597199
471,-0.0329,2.40534,-0.0597199
472,-0.0328,2.40534,-0.0597199
473,-0.0327,2.40534,-0.0597199
474,-0.0326,2.40534,-0.0597199
475,-0.0325,2.40534,-0.0597199
476,-0.0324,2.40534,-0.0597199
477,-0.0323,2.40534,-0.0597199
478,-0.0322,2.40534,-0.0597199
479,-0.0321,2.40534,-0.0597199
480,-0.032,2.40534,-0.0597199
481,-0.0319,2.40534,-0.0597199
482,-0.0318,2.40534,-0.0597199
483,-0.0317,2.40534,-0.0597199
484,-0.0316,2.40534,-0.0597199
485,-0.0315,2.40534,-0.0597199
486,-0.0314,2.40534,-0.0597199
487,-0.0313,2.40534,-0.0597199
488,-0.0312,2.40534,-0.0597199
489,-0.0311,2.40534,-0.0597199
490,-0.031,2.40534,-0.0597199
491,-0.0309,2.40534,-0.0597199
492,-0.0308,2.40534,-0.0597199
493,-0.0307,2.40534,-0.0597199
494,-0.0306,2.40534,-0.0597199
495,-0.0305,2.40534,-0.0597199
496,-0.0304,2.40534,-0.0597199
497,-0.0303,2.40534,-0.0597199
498,-0.0302,2.40534,-0.0597199
499,-0.0301,2.40534,-0.0597199
500,-0.03,2.40534,-0.0597199
501,-0.0299,2.40534,-0.0597199
502,-0.0298,2.40534,-0.0597199
503,-0.0297,2.40534,-0.0597199
504,-0.0296,2.40534,-0.0597199
505,-0.0295,2.40534,-0.0597199
506,-0.0294,2.40534,-0.0597199
507,-0.0293,2.40534,-0.0597199
508,-0.0292,2.40534,-0.0597199
509,-0.0291,2.40534,-0.0597199
510,-0.029,2.40534,-0.0597199
511,-0.0289,2.40534,-0.0597199
512,-0.0288,2.40534,-0.0597199
